id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10080,D1 -  Million Dollar View 2 BR,30899,Rami,,Downtown,49.28872,-123.12046,Entire home/apt,158,90,16,2017-02-26,0.13,39,0,0,18-476608
13188,Garden level studio in ideal loc.,51466,Family Guns,,Riley Park,49.24773,-123.10509,Entire home/apt,150,2,254,2021-11-26,1.77,1,164,7,20-160253
13358,Monthly (or Longer ) Designer One Bedroom Downtown,52116,Lynn,,West End,49.28201,-123.12669,Entire home/apt,85,30,431,2021-11-15,3.09,1,46,2,18-611603
13490,Vancouver's best kept secret,52467,Iris,,Kensington-Cedar Cottage,49.25622,-123.06607,Entire home/apt,150,30,91,2021-10-31,0.71,1,246,3,
14267,EcoLoft Vancouver,56030,Peter & Alison,,Kensington-Cedar Cottage,49.24922,-123.08139,Entire home/apt,150,3,34,2021-07-14,0.25,1,14,1,21-156500
16254,Close to PNE/Hastings Park Garden level suite,63238,Jason,,Hastings-Sunrise,49.27721,-123.04086,Entire home/apt,350,3,5,2019-08-19,0.12,1,365,0,19-162421
16611,"1 block to skytrain station, shops,restaurant,bank",58512,Q,,Grandview-Woodland,49.26339,-123.07145,Entire home/apt,100,30,3,2018-02-16,0.06,5,89,0,
17158,Vancouver 3br 3ba house 20min to DT,48673,Elaine,,Renfrew-Collingwood,49.25277,-123.03774,Entire home/apt,195,4,7,2021-09-29,0.05,1,0,2,18-573474
17765,"Central location, nice little apartment",68672,James,,Mount Pleasant,49.26132,-123.10845,Entire home/apt,94,5,203,2021-10-01,1.81,1,0,9,21-156705
18270,private rm in clean central 2BR apt,70437,Ran,,Mount Pleasant,49.26557,-123.096,Private room,50,30,118,2019-12-31,0.90,1,328,0,
18589,Commercial Drive B&B,71508,Sylvain & Alexis,,Grandview-Woodland,49.27569,-123.07057,Private room,87,1,397,2021-11-28,3.10,1,49,7,21-156397
18773,"Comfort Suite on Kits Beach + Netflix, and Youtube",72055,Dean,,Kitsilano,49.2733,-123.16457,Entire home/apt,250,2,16,2021-09-05,0.11,1,88,2,19-282973
18795,*Best choice in downtown-5 Stars * -2,70137,Kai,,West End,49.28299,-123.13008,Private room,65,30,122,2021-06-13,0.94,3,303,1,18-573700
19001,Vancouver Downtown Studio Apartment,72649,Melanie,,Downtown,49.2766,-123.12935,Entire home/apt,114,5,141,2021-10-31,0.98,1,68,2,18-597543
19527,Spacious Apartment near Granville Island and VGH,74129,Bevin,,Fairview,49.26018,-123.13477,Entire home/apt,159,7,46,2021-09-07,0.32,1,8,9,20-161658
19621,Beautiful 2 Br 2 Bath + Den Yaletown Seawall,74380,Shirin,,Downtown,49.27323,-123.12032,Entire home/apt,204,30,0,,,1,233,0,
20085,Bright & Cheerful Uptown Garden Suite,75986,Tony And Rachel,,Kensington-Cedar Cottage,49.25636,-123.08636,Entire home/apt,69,30,75,2021-12-02,0.52,1,122,3,Exempt
